ID	gene_name	Especie	KO	LFC	ortho_score	string_score	impact_score
NP_252940.1	rpsN	pseu	K02954	1.2450886506041954	2	39	1.1117
NP_252941.1	rplE	pseu	K02931	1.1408522761661644	2	43	1.1064
NP_252942.1	rplX	pseu	K02895	1.3907348083616657	2	44	1.3755
NP_252943.1	rplN	pseu	K02874	1.3141514462586539	2	46	1.3503
NP_252944.1	rpsQ	pseu	K02961	1.2779955950831514	2	44	1.264
NP_252945.1	rpmC	pseu	K02904	1.2522388281212358	2	37	1.0699
NP_252946.1	rplP	pseu	K02878	1.237299336498726	2	43	1.1999
NP_252947.1	rpsC	pseu	K02982	1.132796854508662	2	45	1.1421
NP_252948.1	rplV	pseu	K02890	1.226414928767328	2	45	1.2365
NP_252949.1	rpsS	pseu	K02965	1.0515442467379597	1	43	0.8695
NP_252950.1	rplB	pseu	K02886	1.1124843538906894	2	45	1.1217
NP_252951.1	rplW	pseu	K02892	1.0303062857149143	2	43	0.9992
NP_252952.1	rplD	pseu	K02926	0.9152544271166967	2	45	0.9228
NP_252953.1	rplC	pseu	K02906	0.6691996258356667	2	46	0.6876
NP_252954.1	rpsJ	pseu	K02946	0.905141394875205	2	43	0.8778
NP_252957.1	rpsG	pseu	K02992	0.693673389497139	2	46	0.7127
NP_252958.1	rpsL	pseu	K02950	0.8042147516508589	2	49	0.8727
NP_252961.1	rplL	pseu	K02935	1.1996175447492874	2	41	1.1172
NP_252962.1	rplJ	pseu	K02864	1.1286831374601256	2	44	1.1163
NP_252963.1	rplA	pseu	K02863	0.7198795343131366	2	48	0.7673
NP_253064.1	PA4374	pseu	K03585	0.16068391299905294	8	6	0.1792
NP_253065.1	PA4375	pseu	K18138	0.35653800554065107	7	6	0.3467
NP_253100.1	ddlB	pseu	K01921	0.7242790974895179	3	8	0.3184
NP_253102.1	murG	pseu	K02563	0.7737632821564322	2	12	0.2891
NP_253103.1	ftsW	pseu	K03588	0.8315372556963467	2	11	0.2947
NP_253104.1	murD	pseu	K01925	0.6936735914529244	2	10	0.2325
NP_253105.1	mraY	pseu	K01000	0.7033264924143747	3	10	0.3362
NP_253106.1	murF	pseu	K01929	0.48955255666126796	2	12	0.1829
NP_253107.1	murE	pseu	K01928	0.5128599728940628	2	9	0.162
NP_253108.1	ftsI	pseu	K03587	0.3284813040176804	3	10	0.157
NP_253129.1	trpS	pseu	K01867	0.17224665681398932	3	2	0.0558
NP_253257.1	rpmA	pseu	K02899	0.39335693965063	2	8	0.1167
NP_253258.1	rplU	pseu	K02888	0.18139089149140375	2	10	0.0608
NP_253282.1	PA4592	pseu	K12340	0.2627848267229975	3	0	0.0751
NP_253289.1	mexC	pseu	K03585	0.30596751254647536	8	0	0.306
NP_253360.1	PA4671	pseu	K02897	0.7654126182972725	2	0	0.1093
NP_253388.1	mrcB	pseu	K05365	-0.06974279375973857	2	8	0.0207
NP_253416.1	folK	pseu	K00950	-0.5142856243909719	2	1	0.0834
NP_253438.1	folP	pseu	K00796	0.40805867534347584	2	1	0.0661
NP_253496.1	selA	pseu	K01042	0.4556493780041997	2	0	0.0651
NP_253619.1	rplI	pseu	K02939	0.8635163161804762	2	11	0.306
NP_253621.1	rpsR	pseu	K02963	0.6475556384784582	2	8	0.1921
NP_253622.1	rpsF	pseu	K02990	0.7599437091516386	2	12	0.2839
NP_253634.1	amiB	pseu	K01448	0.047914596481870575	3	8	0.0211
NP_253661.1	PA4974	pseu	K12340	-0.025432490378351602	3	1	0.0078
NP_253732.1	ponA	pseu	K05366	0.0826830943231478	3	10	0.0395
NP_253736.1	rpmE	pseu	K02909	0.43076978679663647	4	10	0.2675
NP_253738.1	argS	pseu	K01887	-0.20870477377636298	1	6	0.0241
NP_254003.1	rpmB	pseu	K02902	0.6685761672438968	2	9	0.2112
NP_254176.1	dsbA	pseu	K03673	0.5404847831016077	3	0	0.1544
NP_254225.1	amiA	pseu	K01448	-0.18283125091353725	3	2	0.0593
NP_254226.1	PA5539	pseu	K09007	-0.14138006364060196	2	0	0.0202
NP_254257.1	rpmH	pseu	K02914	-0.13973029356332667	2	8	0.0415
